customer_id,first_name,city,segment,signup_date
54,Customer_54,Munich,Consumer,2024-04-20
55,Customer_55,Leipzig,Consumer,2023-12-22
56,Customer_56,Cologne,Consumer,2025-11-15
57,Customer_57,Munich,Consumer,2023-02-03
58,Customer_58,Stuttgart,Consumer,2023-09-21
59,Customer_59,Stuttgart,Consumer,2025-03-26
60,Customer_60,Bremen,Consumer,2025-05-24
61,Customer_61,Cologne,Consumer,2025-01-23
62,Customer_62,Stuttgart,Consumer,2024-07-19
63,Customer_63,Munich,Consumer,2024-04-06
64,Customer_64,Bremen,Corporate,2024-10-16
65,Customer_65,Munich,Corporate,2023-03-22
66,Customer_66,Bremen,Corporate,2025-01-26
67,Customer_67,Cologne,Consumer,2025-05-19
68,Customer_68,Leipzig,Consumer,2025-12-05
69,Customer_69,Dresden,Consumer,2024-08-21
70,Customer_70,Düsseldorf,Consumer,2025-03-17
71,Customer_71,Leipzig,Consumer,2025-12-12
72,Customer_72,Frankfurt,Small Business,2025-09-10
73,Customer_73,Munich,Consumer,2024-12-04
74,Customer_74,Frankfurt,Consumer,2024-04-20
75,Customer_75,Leipzig,Small Business,2024-08-14
76,Customer_76,Bremen,Small Business,2023-01-16
77,Customer_77,Düsseldorf,Corporate,2024-05-01
78,Customer_78,Düsseldorf,Consumer,2024-12-06
79,Customer_79,Berlin,Consumer,2024-09-11
80,Customer_80,Düsseldorf,Consumer,2025-10-15
81,Customer_81,Dresden,Consumer,2025-02-15
82,Customer_82,Düsseldorf,Consumer,2024-03-22
83,Customer_83,Leipzig,Consumer,2023-10-17
84,Customer_84,Berlin,Small Business,2023-07-28
85,Customer_85,Leipzig,Consumer,2024-02-17
86,Customer_86,Leipzig,Corporate,2024-11-07
87,Customer_87,Hamburg,Corporate,2024-10-25
88,Customer_88,Berlin,Consumer,2023-10-17
89,Customer_89,Leipzig,Corporate,2023-05-31
90,Customer_90,Hamburg,Consumer,2025-05-04
91,Customer_91,Hamburg,Consumer,2024-08-30
92,Customer_92,Berlin,Corporate,2024-01-05
93,Customer_93,Frankfurt,Consumer,2024-12-05
94,Customer_94,Bremen,Small Business,2025-04-05
95,Customer_95,Dresden,Consumer,2025-10-01
96,Customer_96,Bremen,Consumer,2024-01-12
97,Customer_97,Düsseldorf,Consumer,2025-08-30
98,Customer_98,Dresden,Consumer,2023-04-28
99,Customer_99,Düsseldorf,Consumer,2025-10-25
100,Customer_100,Leipzig,Consumer,2024-03-19
101,Customer_101,Munich,Corporate,2025-01-24
102,Customer_102,Berlin,Corporate,2024-10-01
103,Customer_103,Dresden,Consumer,2023-05-04
104,Customer_104,Dresden,Corporate,2024-10-19
105,Customer_105,Leipzig,Corporate,2025-04-01
106,Customer_106,Frankfurt,Corporate,2024-10-25
107,Customer_107,Hamburg,Consumer,2023-12-26
108,Customer_108,Leipzig,Consumer,2024-09-14
109,Customer_109,Stuttgart,Corporate,2025-12-16
110,Customer_110,Hamburg,Consumer,2025-07-07
111,Customer_111,Berlin,Corporate,2024-03-27
112,Customer_112,Hamburg,Consumer,2023-04-30
113,Customer_113,Frankfurt,Consumer,2024-08-04
114,Customer_114,Hamburg,Consumer,2023-04-09
115,Customer_115,Berlin,Consumer,2024-05-28
116,Customer_116,Frankfurt,Consumer,2024-10-25
117,Customer_117,Bremen,Corporate,2024-02-05
118,Customer_118,,Consumer,2023-12-31
119,Customer_119,Dresden,Corporate,2024-08-03
120,Customer_120,Düsseldorf,Small Business,2024-09-12
121,Customer_121,Bremen,Consumer,2025-04-07
122,Customer_122,Bremen,Small Business,2023-09-04
123,Customer_123,Hamburg,Small Business,2024-03-09
124,Customer_124,Dresden,Corporate,2024-09-06
125,Customer_125,Berlin,Corporate,2025-07-31
126,Customer_126,Cologne,Small Business,2025-08-20
127,Customer_127,Cologne,Consumer,2024-09-15
128,Customer_128,Frankfurt,Consumer,2023-11-17
129,Customer_129,Dresden,Corporate,2025-05-05
130,Customer_130,Dresden,Consumer,2023-03-03
131,Customer_131,Cologne,Consumer,2023-10-27
132,Customer_132,Dresden,Consumer,2024-02-07
133,Customer_133,Hamburg,Corporate,2025-08-12
134,Customer_134,Stuttgart,Consumer,2023-09-10
135,Customer_135,Munich,Small Business,2024-04-22
136,Customer_136,Bremen,Consumer,2023-06-09
137,Customer_137,Düsseldorf,Consumer,2025-08-18
138,Customer_138,Frankfurt,Consumer,2023-07-24
139,Customer_139,Stuttgart,Consumer,2025-05-07
140,Customer_140,Cologne,Corporate,2025-01-29
141,Customer_141,Bremen,Small Business,2024-12-21
142,Customer_142,Dresden,Corporate,2025-11-06
143,Customer_143,Düsseldorf,Consumer,2023-03-09
144,Customer_144,Dresden,Consumer,2023-05-13
145,Customer_145,Berlin,Corporate,2025-07-07
146,Customer_146,Berlin,Small Business,2024-03-05
147,Customer_147,Düsseldorf,Consumer,2023-11-04
148,Customer_148,Düsseldorf,Consumer,2024-10-11
149,Customer_149,Cologne,Consumer,2024-02-16
150,Customer_150,Düsseldorf,Small Business,2023-04-07
151,Customer_151,Hamburg,Consumer,2025-11-16
152,Customer_152,Dresden,Consumer,2025-12-19
153,Customer_153,Stuttgart,Consumer,2023-07-21
154,Customer_154,Leipzig,Small Business,2025-01-31
155,Customer_155,Düsseldorf,Consumer,2025-05-23
156,Customer_156,Frankfurt,Consumer,2024-08-03
157,Customer_157,Berlin,Consumer,2024-01-05
158,Customer_158,Hamburg,Consumer,2024-06-16
159,Customer_159,Bremen,Consumer,2025-06-17
160,Customer_160,Leipzig,Corporate,2024-08-29
161,Customer_161,Stuttgart,Small Business,2025-05-22
162,Customer_162,Leipzig,Corporate,2025-02-08
163,Customer_163,Düsseldorf,Small Business,2025-04-13
164,Customer_164,Cologne,Consumer,2025-09-25
165,Customer_165,Berlin,Corporate,2025-07-26
166,Customer_166,Berlin,Consumer,2023-08-24
167,Customer_167,Bremen,Corporate,2023-06-11
168,Customer_168,Cologne,Small Business,2024-07-07
169,Customer_169,Dresden,Consumer,2025-02-26
170,Customer_170,Munich,Consumer,2025-12-27
171,Customer_171,Hamburg,Consumer,2024-07-12
172,Customer_172,Berlin,Consumer,2023-09-18
173,Customer_173,Frankfurt,Consumer,2023-08-05
174,Customer_174,Berlin,Corporate,2025-03-15
175,Customer_175,Leipzig,Small Business,2023-07-20
176,Customer_176,Berlin,Consumer,2024-02-06
177,Customer_177,Berlin,Consumer,2023-10-02
178,Customer_178,Munich,Consumer,2023-07-25
179,Customer_179,Munich,Small Business,2025-11-29
180,Customer_180,Stuttgart,Consumer,2025-05-16
181,Customer_181,Dresden,Consumer,2023-04-03
182,Customer_182,Frankfurt,Consumer,2025-12-01
183,Customer_183,Berlin,Consumer,2024-01-14
184,Customer_184,Berlin,Consumer,2023-03-06
185,Customer_185,Hamburg,Small Business,2023-12-31
186,Customer_186,Munich,Consumer,2025-03-31
187,Customer_187,Frankfurt,Corporate,2025-11-13
188,Customer_188,Bremen,Consumer,2024-06-23
189,Customer_189,Stuttgart,Corporate,2025-12-21
190,Customer_190,Dresden,Corporate,2024-05-05
191,Customer_191,Cologne,Consumer,2023-08-17
192,Customer_192,Dresden,Consumer,2025-11-09
193,Customer_193,Leipzig,Consumer,2023-01-03
194,Customer_194,Berlin,Corporate,2025-06-29
195,Customer_195,Stuttgart,Consumer,2023-11-03
196,Customer_196,Leipzig,Small Business,2024-03-07
197,Customer_197,Frankfurt,Consumer,2023-05-16
198,Customer_198,Cologne,Corporate,2024-05-29
199,Customer_199,Munich,Corporate,2023-07-12
200,Customer_200,Stuttgart,Corporate,2025-05-22
201,Customer_201,Stuttgart,Consumer,2024-10-27
202,Customer_202,Berlin,Consumer,2023-07-28
203,Customer_203,Düsseldorf,Corporate,2025-08-09
204,Customer_204,Stuttgart,Consumer,2025-11-23
205,Customer_205,Hamburg,Consumer,2024-10-10
206,Customer_206,Cologne,Consumer,2023-04-30
207,Customer_207,Cologne,Consumer,2024-09-18
208,Customer_208,Hamburg,Consumer,2024-06-08
209,Customer_209,Bremen,Consumer,2025-02-07
210,Customer_210,Hamburg,Consumer,2024-05-26
211,Customer_211,Hamburg,Corporate,2023-02-16
212,Customer_212,Cologne,Corporate,2025-02-10
213,Customer_213,Dresden,Corporate,2025-01-09
214,Customer_214,Cologne,Small Business,2024-06-05
215,Customer_215,Düsseldorf,Consumer,2023-05-14
216,Customer_216,Berlin,Consumer,2023-09-05
217,Customer_217,Leipzig,Consumer,2024-03-11
218,Customer_218,Dresden,Consumer,2024-11-16
219,Customer_219,Munich,Small Business,2024-08-08
220,Customer_220,Leipzig,Consumer,2023-12-17
221,Customer_221,Berlin,Consumer,2023-05-23
222,Customer_222,Düsseldorf,Consumer,2025-08-24
223,Customer_223,Düsseldorf,Consumer,2025-03-14
224,Customer_224,Munich,Corporate,2024-12-18
225,Customer_225,Dresden,Consumer,2024-10-04
226,Customer_226,Bremen,Small Business,2024-05-15
227,Customer_227,Hamburg,Consumer,2024-01-05
228,Customer_228,Dresden,Consumer,2025-02-25
229,Customer_229,Bremen,Small Business,2025-01-08
230,Customer_230,Düsseldorf,Consumer,2025-08-07
231,Customer_231,Cologne,Small Business,2024-06-05
232,Customer_232,Berlin,Small Business,2024-05-03
233,Customer_233,Munich,Corporate,2024-02-01
234,Customer_234,Berlin,Corporate,2025-06-14
235,Customer_235,Frankfurt,Consumer,2023-12-21
236,Customer_236,Frankfurt,Small Business,2025-08-04
237,Customer_237,Dresden,Consumer,2023-10-15
238,Customer_238,Düsseldorf,Corporate,2025-09-24
239,Customer_239,Düsseldorf,Small Business,2024-06-19
240,Customer_240,Hamburg,Small Business,2025-04-30
241,Customer_241,Hamburg,Corporate,2025-04-17
242,Customer_242,Hamburg,Consumer,2023-06-17
243,Customer_243,Cologne,Small Business,2025-08-07
244,Customer_244,Leipzig,Consumer,2024-09-12
245,Customer_245,Stuttgart,Small Business,2024-03-03
246,Customer_246,Leipzig,Corporate,2024-05-04
247,Customer_247,Berlin,Consumer,2023-12-21
248,Customer_248,Leipzig,Consumer,2023-07-15
249,Customer_249,Cologne,Consumer,2024-06-28
250,Customer_250,Berlin,Corporate,2024-12-17
251,Customer_251,Leipzig,Consumer,2025-04-03
252,Customer_252,Cologne,Consumer,2025-07-20
253,Customer_253,Stuttgart,Consumer,2025-09-29
254,Customer_254,Leipzig,Corporate,2024-10-20
255,Customer_255,Cologne,Consumer,2025-07-27
256,Customer_256,Hamburg,Consumer,2025-02-18
257,Customer_257,Düsseldorf,Consumer,2023-01-11
258,Customer_258,Hamburg,Consumer,2024-01-31
259,Customer_259,Düsseldorf,Consumer,2024-12-31
260,Customer_260,Munich,Consumer,2024-02-13
261,Customer_261,Munich,Consumer,2023-12-28
262,Customer_262,Munich,Small Business,2025-10-23
263,Customer_263,Stuttgart,Small Business,2023-03-25
264,Customer_264,Hamburg,Consumer,2023-06-05
265,Customer_265,Düsseldorf,Small Business,2024-12-07
266,Customer_266,Cologne,Consumer,2024-04-16
267,Customer_267,Berlin,Consumer,2024-09-10
268,Customer_268,Cologne,Consumer,2023-05-14
269,Customer_269,Berlin,Consumer,2025-02-26
270,Customer_270,Frankfurt,Consumer,2025-06-25
271,Customer_271,Cologne,Consumer,2025-05-13
272,Customer_272,Leipzig,Consumer,2024-10-28
273,Customer_273,Leipzig,Corporate,2023-10-04
274,Customer_274,Dresden,Consumer,2025-05-31
275,Customer_275,Hamburg,Consumer,2023-01-13
276,Customer_276,Berlin,Consumer,2023-12-08
277,Customer_277,Berlin,Consumer,2023-02-04
278,Customer_278,Hamburg,Consumer,2024-07-12
279,Customer_279,Stuttgart,Consumer,2024-02-09
280,Customer_280,Dresden,Small Business,2024-10-19
281,Customer_281,Stuttgart,Consumer,2023-06-08
282,Customer_282,Stuttgart,Consumer,2025-08-13
283,Customer_283,Stuttgart,Corporate,2024-07-02
284,Customer_284,Hamburg,Consumer,2025-09-11
285,Customer_285,Stuttgart,Consumer,2023-10-06
286,Customer_286,Leipzig,Corporate,2024-04-23
287,Customer_287,Munich,Consumer,2023-04-21
288,Customer_288,Frankfurt,Consumer,2024-03-06
289,Customer_289,Berlin,Consumer,2024-06-25
290,Customer_290,Berlin,Consumer,2023-12-26
291,Customer_291,Frankfurt,Consumer,2024-01-07
292,Customer_292,Hamburg,Consumer,2025-11-04
293,Customer_293,Cologne,Consumer,2025-08-12
294,Customer_294,Hamburg,Consumer,2023-09-16
295,Customer_295,Berlin,Corporate,2025-02-16
296,Customer_296,Berlin,Consumer,2023-04-30
297,Customer_297,Frankfurt,Consumer,2025-09-02
298,Customer_298,Stuttgart,Consumer,2025-07-01
299,Customer_299,Hamburg,Small Business,2024-12-23
300,Customer_300,Düsseldorf,Consumer,2024-06-06
301,Customer_301,Frankfurt,Small Business,2023-11-21
302,Customer_302,Leipzig,Consumer,2025-12-09
303,Customer_303,Berlin,Consumer,2023-03-10
304,Customer_304,Frankfurt,Consumer,2024-01-26
305,Customer_305,Hamburg,Consumer,2024-01-18
306,Customer_306,Berlin,Consumer,2023-01-16
307,Customer_307,Cologne,Consumer,2025-04-25
308,Customer_308,Frankfurt,Consumer,2025-05-18
309,Customer_309,Dresden,Consumer,2024-07-21
310,Customer_310,Berlin,Corporate,2023-05-12
311,Customer_311,Hamburg,Small Business,2023-09-30
312,Customer_312,Munich,Consumer,2024-04-28
313,Customer_313,Düsseldorf,Consumer,2024-07-03
314,Customer_314,Bremen,Consumer,2023-12-23
315,Customer_315,Stuttgart,Corporate,2025-12-07
316,Customer_316,Bremen,Consumer,2025-10-30
317,Customer_317,Hamburg,Small Business,2023-08-21
318,Customer_318,Leipzig,Consumer,2023-02-05
319,Customer_319,Leipzig,Consumer,2024-02-17
320,Customer_320,Munich,Consumer,2025-10-24
321,Customer_321,Stuttgart,Corporate,2023-02-13
322,Customer_322,Dresden,Consumer,2024-07-21
323,Customer_323,Munich,Consumer,2025-01-09
324,Customer_324,Bremen,Small Business,2023-04-24
325,Customer_325,Munich,Consumer,2024-02-01
326,Customer_326,Bremen,Small Business,2024-04-10
327,Customer_327,Berlin,Consumer,2025-04-26
328,Customer_328,Leipzig,Corporate,2024-05-16
329,Customer_329,Berlin,Consumer,2024-03-16
330,Customer_330,Düsseldorf,Consumer,2023-03-10
331,Customer_331,Stuttgart,Small Business,2023-11-22
332,Customer_332,Dresden,Consumer,2023-03-08
333,Customer_333,Bremen,Consumer,2023-10-31
334,Customer_334,Dresden,Consumer,2025-08-29
335,Customer_335,Bremen,Consumer,2024-04-28
336,Customer_336,Hamburg,Consumer,2025-07-17
337,Customer_337,Munich,Consumer,2023-05-29
338,Customer_338,Düsseldorf,Consumer,2025-11-16
339,Customer_339,Leipzig,Consumer,2025-09-13
340,Customer_340,Bremen,Consumer,2024-08-06
341,Customer_341,Dresden,Consumer,2023-09-05
342,Customer_342,Düsseldorf,Corporate,2024-12-02
343,Customer_343,Cologne,Small Business,2023-04-06
344,Customer_344,Cologne,Corporate,2023-10-09
345,Customer_345,Berlin,Consumer,2023-11-18
346,Customer_346,Leipzig,Consumer,2024-06-12
347,Customer_347,Hamburg,Consumer,2023-09-20
348,Customer_348,Dresden,Consumer,2024-08-02
349,Customer_349,Munich,Consumer,2023-10-21
350,Customer_350,Munich,Consumer,2024-01-30
351,Customer_351,Dresden,Consumer,2024-05-27
352,Customer_352,Stuttgart,Small Business,2025-07-09
353,Customer_353,Hamburg,Consumer,2025-03-20
354,Customer_354,Düsseldorf,Consumer,2025-07-08
355,Customer_355,Bremen,Consumer,2024-11-23
356,Customer_356,Stuttgart,Consumer,2023-08-23
357,Customer_357,Bremen,Small Business,2025-08-09
358,Customer_358,Bremen,Consumer,2025-10-28
359,Customer_359,Stuttgart,Consumer,2024-06-22
360,Customer_360,Berlin,Consumer,2025-03-30
361,Customer_361,Cologne,Consumer,2023-09-29
362,Customer_362,Bremen,Consumer,2025-10-25
363,Customer_363,Stuttgart,Corporate,2024-08-15
364,Customer_364,Stuttgart,Corporate,2025-09-02
365,Customer_365,Frankfurt,Corporate,2023-04-25
366,Customer_366,Berlin,Consumer,2023-09-20
367,Customer_367,Leipzig,Corporate,2023-07-26
368,Customer_368,Frankfurt,Consumer,2023-10-30
369,Customer_369,Frankfurt,Consumer,2023-04-22
370,Customer_370,Dresden,Consumer,2023-07-04
371,Customer_371,Cologne,Consumer,2025-06-19
372,Customer_372,Stuttgart,Consumer,2023-08-09
373,Customer_373,Cologne,Corporate,2025-12-29
374,Customer_374,Hamburg,Consumer,2025-06-16
375,Customer_375,Dresden,Consumer,2025-12-29
376,Customer_376,Leipzig,Consumer,2024-09-13
377,Customer_377,Cologne,Small Business,2024-03-02
378,Customer_378,Munich,Small Business,2024-10-05
379,Customer_379,Bremen,Small Business,2024-07-21
380,Customer_380,Hamburg,Consumer,2024-03-18
381,Customer_381,Berlin,Consumer,2024-08-23
382,Customer_382,Leipzig,Consumer,2024-05-18
383,Customer_383,Hamburg,Consumer,2023-05-11
384,Customer_384,Bremen,Consumer,2023-08-06
385,Customer_385,Dresden,Consumer,2024-11-18
386,Customer_386,Bremen,Consumer,2023-06-20
387,Customer_387,Frankfurt,Small Business,2024-09-03
388,Customer_388,Bremen,Consumer,2025-09-18
389,Customer_389,Frankfurt,Consumer,2023-02-26
390,Customer_390,Dresden,Consumer,2023-09-03
391,Customer_391,Düsseldorf,Small Business,2023-05-24
392,Customer_392,Frankfurt,Corporate,2025-12-10
393,Customer_393,Berlin,Corporate,2024-01-03
394,Customer_394,Bremen,Small Business,2023-08-06
395,Customer_395,Bremen,Consumer,2024-09-07
396,Customer_396,Berlin,Consumer,2024-03-17
397,Customer_397,Munich,Consumer,2025-04-20
398,Customer_398,Stuttgart,Consumer,2025-08-13
399,Customer_399,Düsseldorf,Consumer,2024-11-29
400,Customer_400,Leipzig,Consumer,2025-05-25
401,Customer_401,Frankfurt,Small Business,2025-02-14
402,Customer_402,Berlin,Small Business,2025-01-31
403,Customer_403,Dresden,Corporate,2025-08-02
404,Customer_404,Frankfurt,Corporate,2025-07-11
405,Customer_405,Stuttgart,Corporate,2025-07-23
406,Customer_406,Dresden,Consumer,2023-01-25
407,Customer_407,Hamburg,Consumer,2025-03-16
408,Customer_408,Bremen,Corporate,2025-02-02
409,Customer_409,Hamburg,Corporate,2025-12-19
410,Customer_410,Frankfurt,Consumer,2024-03-09
411,Customer_411,Stuttgart,Small Business,2025-05-28
412,Customer_412,Düsseldorf,Consumer,2025-12-25
413,Customer_413,Frankfurt,Consumer,2025-06-28
414,Customer_414,Berlin,Corporate,2024-07-18
415,Customer_415,Cologne,Consumer,2023-04-16
416,Customer_416,Frankfurt,Consumer,2023-04-06
417,Customer_417,Bremen,Consumer,2023-06-17
418,Customer_418,Bremen,Corporate,2023-02-11
419,Customer_419,Frankfurt,Consumer,2023-04-14
420,Customer_420,Dresden,Corporate,2024-06-03
421,Customer_421,Cologne,Consumer,2023-10-09
422,Customer_422,Berlin,Consumer,2025-12-02
423,Customer_423,Frankfurt,Small Business,2025-08-04
424,Customer_424,Dresden,Consumer,2025-01-18
425,Customer_425,Bremen,Small Business,2025-04-10
426,Customer_426,Bremen,Consumer,2023-02-18
427,Customer_427,Stuttgart,Small Business,2023-04-25
428,Customer_428,Frankfurt,Consumer,2024-05-17
429,Customer_429,Cologne,Consumer,2025-09-12
430,Customer_430,Munich,Consumer,2023-03-12
431,Customer_431,Cologne,Consumer,2025-10-08
432,Customer_432,Bremen,Consumer,2023-03-08
433,Customer_433,Bremen,Consumer,2025-08-24
434,Customer_434,Hamburg,Consumer,2023-06-30
435,Customer_435,Bremen,Consumer,2024-09-04
436,Customer_436,Berlin,Consumer,2024-11-27
437,Customer_437,Leipzig,Corporate,2024-08-25
438,Customer_438,Frankfurt,Consumer,2023-09-05
439,Customer_439,Cologne,Consumer,2023-12-25
440,Customer_440,Leipzig,Consumer,2023-09-06
441,Customer_441,Dresden,Corporate,2024-09-29
442,Customer_442,Munich,Consumer,2025-08-07
443,Customer_443,Berlin,Corporate,2024-10-24
444,Customer_444,Cologne,Small Business,2023-06-25
445,Customer_445,Leipzig,Corporate,2024-12-23
446,Customer_446,Munich,Consumer,2024-03-01
447,Customer_447,Hamburg,Consumer,2025-02-09
448,Customer_448,Berlin,Corporate,2024-12-03
449,Customer_449,Berlin,Consumer,2023-03-22
450,Customer_450,Hamburg,Consumer,2025-07-15
451,Customer_451,Frankfurt,Consumer,2023-05-18
452,Customer_452,Hamburg,Corporate,2024-04-14
453,Customer_453,Berlin,Consumer,2023-12-16
454,Customer_454,Berlin,Corporate,2023-11-06
455,Customer_455,Leipzig,Consumer,2025-11-09
456,Customer_456,Bremen,Consumer,2025-09-28
457,Customer_457,Munich,Consumer,2023-09-26
458,Customer_458,Hamburg,Consumer,2025-10-23
459,Customer_459,Munich,Small Business,2025-02-08
460,Customer_460,Hamburg,Small Business,2023-01-16
461,Customer_461,Dresden,Corporate,2024-08-28
462,Customer_462,Berlin,Consumer,2025-03-23
463,Customer_463,Bremen,Corporate,2024-04-26
464,Customer_464,Leipzig,Consumer,2025-06-13
465,Customer_465,Bremen,Consumer,2023-09-26
466,Customer_466,Bremen,Consumer,2024-02-18
467,Customer_467,Bremen,Consumer,2023-01-25
468,Customer_468,Munich,Corporate,2023-11-12
469,Customer_469,Hamburg,Small Business,2024-07-24
470,Customer_470,Düsseldorf,Consumer,2024-12-25
471,Customer_471,Dresden,Corporate,2025-10-04
472,Customer_472,Cologne,Consumer,2024-01-24
473,Customer_473,Bremen,Consumer,2024-12-22
474,Customer_474,Frankfurt,Consumer,2024-03-19
475,Customer_475,Munich,Consumer,2025-09-25
476,Customer_476,Leipzig,Consumer,2025-12-16
477,Customer_477,Cologne,Consumer,2024-11-27
478,Customer_478,Düsseldorf,Corporate,2025-08-28
479,Customer_479,Frankfurt,Corporate,2024-12-21
480,Customer_480,Düsseldorf,Consumer,2024-01-03
481,Customer_481,Cologne,Small Business,2023-12-08
482,Customer_482,Bremen,Consumer,2023-10-31
483,Customer_483,Frankfurt,Consumer,2025-02-02
484,Customer_484,Düsseldorf,Corporate,2025-03-26
485,Customer_485,Leipzig,Consumer,2023-04-22
486,Customer_486,Hamburg,Consumer,2025-05-27
487,Customer_487,Berlin,Consumer,2025-10-26
488,Customer_488,Hamburg,Consumer,2025-07-18
489,Customer_489,Cologne,Corporate,2024-12-03
490,Customer_490,Munich,Consumer,2025-04-25
491,Customer_491,Berlin,Consumer,2025-08-01
492,Customer_492,Dresden,Consumer,2023-10-06
493,Customer_493,Leipzig,Corporate,2024-01-17
494,Customer_494,Dresden,Consumer,2023-01-13
495,Customer_495,Frankfurt,Corporate,2023-10-30
496,Customer_496,Berlin,Consumer,2023-06-09
497,Customer_497,Dresden,Consumer,2023-06-03
498,Customer_498,Dresden,Consumer,2025-01-23
499,Customer_499,Düsseldorf,Consumer,2023-06-30
500,Customer_500,Hamburg,Consumer,2024-01-12
501,Customer_501,Düsseldorf,Consumer,2025-02-14
502,Customer_502,Berlin,Small Business,2023-01-16
503,Customer_503,Berlin,Consumer,2023-09-10
504,Customer_504,Cologne,Corporate,2025-12-19
505,Customer_505,Düsseldorf,Consumer,2023-01-31
506,Customer_506,Stuttgart,Consumer,2025-11-10
507,Customer_507,Hamburg,Consumer,2024-12-31
508,Customer_508,Berlin,Small Business,2023-10-16
509,Customer_509,Cologne,Consumer,2024-05-12
510,Customer_510,Düsseldorf,Consumer,2024-07-01
511,Customer_511,Hamburg,Consumer,2025-08-18
512,Customer_512,Düsseldorf,Consumer,2023-05-12
513,Customer_513,Dresden,Consumer,2025-05-07
514,Customer_514,Cologne,Consumer,2024-06-04
515,Customer_515,Hamburg,Consumer,2023-01-30
516,Customer_516,Bremen,Consumer,2024-09-18
517,Customer_517,Frankfurt,Corporate,2023-01-04
518,Customer_518,Frankfurt,Consumer,2024-05-23
519,Customer_519,Hamburg,Consumer,2023-01-16
520,Customer_520,Düsseldorf,Consumer,2025-09-23
521,Customer_521,Cologne,Consumer,2025-08-13
522,Customer_522,Frankfurt,Consumer,2023-09-20
523,Customer_523,Cologne,Consumer,2025-12-24
524,Customer_524,Frankfurt,Consumer,2023-09-22
525,Customer_525,Dresden,Consumer,2024-01-13
526,Customer_526,Düsseldorf,Consumer,2025-08-20
527,Customer_527,Dresden,Consumer,2024-04-20
528,Customer_528,Frankfurt,Corporate,2023-11-25
529,Customer_529,Bremen,Consumer,2024-03-13
530,Customer_530,Bremen,Consumer,2023-01-16
531,Customer_531,Dresden,Consumer,2025-05-17
532,Customer_532,Bremen,Consumer,2024-05-25
533,Customer_533,Frankfurt,Consumer,2025-09-10
534,Customer_534,Hamburg,Consumer,2024-08-03
535,Customer_535,Dresden,Corporate,2023-01-06
536,Customer_536,Munich,Consumer,2025-10-15
537,Customer_537,Düsseldorf,Consumer,2025-03-17
538,Customer_538,Bremen,Consumer,2024-09-10
539,Customer_539,Bremen,Consumer,2024-02-09
540,Customer_540,Berlin,Consumer,2025-09-23
541,Customer_541,Stuttgart,Corporate,2024-08-16
542,Customer_542,Dresden,Consumer,2024-07-19
