order_id,customer_id,order_date,status,payment_method
152,4975,2024-02-02,Completed,Card
153,4232,2024-04-17,Completed,PayPal
154,3577,2025-02-25,Completed,Card
155,33,2024-09-25,Completed,Card
156,2695,2024-03-13,Completed,Card
157,4374,2024-06-29,Completed,Card
158,4846,2024-05-31,Completed,PayPal
159,3599,2025-05-26,Completed,PayPal
160,2393,2024-03-08,Completed,Card
161,4113,2025-01-06,Completed,Card
162,2872,2024-12-13,Completed,PayPal
163,2678,2025-12-09,Completed,Card
164,1402,2024-02-01,Completed,PayPal
165,818,2025-09-11,Completed,PayPal
166,1661,2024-03-19,Completed,Bank Transfer
167,4563,2024-09-15,Completed,PayPal
168,4724,2025-05-11,Completed,Card
169,2439,2024-06-23,Completed,Card
170,2984,2025-01-01,Completed,Card
171,1211,2024-01-15,Completed,PayPal
172,600,2024-02-20,Completed,Card
173,1847,2024-04-16,Completed,PayPal
174,1856,2025-12-22,Completed,Card
175,1888,2025-04-13,Completed,PayPal
176,680,2024-07-20,Completed,Card
177,3253,2024-08-05,Completed,Card
178,1836,2024-02-10,Completed,Card
179,4031,2025-01-19,Completed,PayPal
180,2178,2025-12-15,Completed,Bank Transfer
181,149,2024-12-01,Completed,Card
182,1496,2025-09-02,Completed,Bank Transfer
183,4914,2025-10-22,Completed,PayPal
184,1745,2024-04-14,Completed,Bank Transfer
185,1647,2024-07-21,Completed,Card
186,2996,2025-05-24,Completed,Card
187,1673,2024-04-04,Completed,Card
188,1940,2024-06-25,Completed,PayPal
189,658,2024-03-05,Completed,PayPal
190,3668,2025-07-06,Completed,Card
191,1054,2024-08-11,Completed,Card
192,4072,2025-08-01,Completed,Card
193,577,2025-01-14,Completed,PayPal
194,3096,2024-09-11,Completed,Card
195,3032,2024-10-24,Completed,Bank Transfer
196,4819,2025-08-03,Returned,Card
197,4780,2024-06-19,Completed,Card
198,4838,2025-09-04,Completed,PayPal
199,2973,2025-10-13,Completed,Card
200,3949,2025-12-18,Completed,PayPal
201,2046,2024-12-29,Completed,Bank Transfer
202,3937,2024-03-13,Completed,Card
203,2949,2024-02-29,Completed,Card
204,1628,2025-03-30,Completed,Bank Transfer
205,1489,2024-12-01,Completed,Card
206,4146,2025-10-29,Completed,Card
207,4199,2024-05-03,Completed,PayPal
208,4464,2025-03-30,Completed,Card
209,936,2024-01-14,Completed,Card
210,3564,2025-02-19,Completed,Card
211,3630,2024-01-27,Cancelled,PayPal
212,1715,2024-02-19,Completed,Card
213,1803,2024-07-05,Completed,Card
214,1421,2024-02-26,Completed,Card
215,3592,2025-10-28,Completed,PayPal
216,3521,2024-02-03,Cancelled,PayPal
217,3312,2025-06-21,Completed,Card
218,2306,2025-01-05,Completed,Card
219,1996,2024-03-26,Completed,Card
220,1968,2024-06-08,Completed,Card
221,3715,2025-02-28,Completed,PayPal
222,4036,2025-12-12,Completed,Card
223,4486,2024-04-15,Completed,PayPal
224,4869,2025-01-25,Completed,Card
225,3459,2025-05-26,Completed,Card
226,394,2024-10-01,Completed,Card
227,4779,2024-10-15,Completed,Card
228,3731,2024-09-14,Completed,Card
229,4366,2024-08-07,Cancelled,PayPal
230,4245,2025-06-10,Completed,PayPal
231,4907,2025-06-16,Completed,Bank Transfer
232,28,2024-02-28,Completed,Card
233,3492,2024-12-25,Completed,PayPal
234,4262,2025-08-16,Completed,Bank Transfer
235,1174,2025-09-21,Completed,PayPal
236,339,2024-04-22,Cancelled,Card
237,1069,2024-10-02,Completed,PayPal
238,842,2024-09-13,Completed,Card
239,4285,2024-11-24,Completed,Card
240,4747,2024-08-22,Completed,Card
241,294,2024-02-20,Completed,Card
242,1858,2025-11-08,Completed,PayPal
243,1323,2024-08-08,Completed,Card
244,1648,2025-08-18,Cancelled,Card
245,4899,2024-08-17,Completed,Card
246,3621,2024-08-09,Completed,Card
247,4527,2025-10-27,Completed,Card
248,3095,2024-02-23,Returned,PayPal
249,3492,2025-09-22,Completed,Bank Transfer
250,3496,2025-12-10,Completed,PayPal
251,4583,2024-09-29,Completed,Bank Transfer
252,3802,2024-07-16,Completed,PayPal
253,89,2024-05-07,Completed,Card
254,4367,2025-08-26,Completed,Card
255,1957,2024-01-09,Completed,Card
256,900,2024-08-14,Completed,Card
257,3478,2025-07-11,Cancelled,Card
258,1745,2024-05-13,Completed,Card
259,4374,2024-01-16,Completed,Card
260,2254,2024-08-02,Completed,Bank Transfer
261,3662,2024-04-21,Completed,Card
262,2961,2024-06-05,Completed,PayPal
263,1634,2025-02-28,Completed,PayPal
264,862,2025-03-27,Completed,Card
265,4702,2024-11-13,Completed,PayPal
266,1014,2024-12-25,Completed,PayPal
267,3300,2025-01-10,Completed,PayPal
268,1507,2024-10-22,Completed,Bank Transfer
269,3206,2024-07-16,Completed,Bank Transfer
270,4804,2025-07-23,Completed,Card
271,978,2025-02-01,Completed,Card
272,3462,2025-08-12,Completed,Card
273,1818,2024-08-29,Completed,Card
274,3685,2025-03-04,Completed,Card
275,4059,2025-09-02,Completed,Card
276,2635,2024-01-06,Completed,PayPal
277,4902,2024-11-13,Completed,Card
278,4816,2024-07-30,Completed,Bank Transfer
279,3667,2024-09-29,Completed,Card
280,949,2024-03-24,Completed,Card
281,474,2025-09-15,Completed,Card
282,568,2025-12-10,Completed,Card
283,3433,2024-12-25,Completed,PayPal
284,4024,2025-01-15,Completed,Bank Transfer
285,2259,2025-06-23,Cancelled,Card
286,3145,2024-05-20,Completed,Card
287,4311,2025-05-24,Cancelled,PayPal
288,4996,2024-06-21,Completed,Card
289,1983,2024-01-20,Completed,Card
290,1097,2025-09-20,Completed,Card
291,3571,2025-05-17,Completed,Card
292,3391,2025-07-19,Completed,PayPal
293,2673,2024-08-14,Completed,Bank Transfer
294,3647,2024-04-18,Completed,PayPal
295,2420,2024-11-15,Completed,PayPal
296,4280,2024-11-03,Cancelled,PayPal
297,3349,2024-03-27,Completed,Card
298,674,2024-08-15,Completed,PayPal
299,2803,2024-11-05,Completed,Card
300,2370,2025-01-13,Completed,Card
301,4531,2025-08-05,Cancelled,Card
302,1067,2025-01-19,Returned,Card
303,688,2024-04-22,Completed,Card
304,4984,2024-10-19,Completed,Card
305,69,2024-10-31,Completed,Card
306,2104,2024-10-17,Completed,Card
307,420,2024-04-14,Cancelled,Card
308,3999,2024-10-17,Completed,Card
309,2598,2025-04-21,Completed,Card
310,4339,2025-06-04,Completed,Bank Transfer
311,2125,2025-11-07,Completed,Card
312,3893,2024-02-29,Completed,Card
313,440,2024-11-07,Completed,PayPal
314,1287,2024-04-15,Completed,Bank Transfer
315,1209,2025-09-14,Completed,Card
316,1079,2024-03-29,Returned,Bank Transfer
317,2564,2024-09-24,Completed,PayPal
318,3624,2025-08-05,Completed,PayPal
319,1254,2024-04-28,Completed,Card
320,3358,2025-03-20,Completed,PayPal
321,3210,2025-03-04,Completed,PayPal
322,3550,2024-12-16,Completed,Bank Transfer
323,615,2024-11-01,Completed,Card
324,3079,2025-09-06,Completed,PayPal
325,2724,2024-07-20,Completed,PayPal
326,3491,2024-01-23,Completed,Bank Transfer
327,3544,2024-03-30,Completed,Card
328,4516,2025-04-15,Completed,Card
329,1901,2024-04-02,Completed,Card
330,4372,2024-10-11,Completed,PayPal
331,1713,2025-11-13,Completed,Card
332,2330,2024-11-04,Cancelled,Bank Transfer
333,3620,2025-06-19,Completed,Card
334,1195,2025-01-10,Completed,Card
335,4907,2025-12-14,Completed,PayPal
336,1379,2025-05-13,Completed,Card
337,1313,2025-09-27,Completed,Card
338,2916,2024-05-21,Completed,Card
339,750,2024-02-21,Completed,Card
340,301,2024-03-10,Completed,Card
341,4696,2024-09-16,Completed,Card
342,3983,2025-11-28,Completed,Bank Transfer
343,4625,2025-12-19,Returned,PayPal
344,3838,2024-10-19,Completed,PayPal
345,278,2025-01-12,Completed,Card
346,4759,2024-02-08,Completed,PayPal
347,2559,2024-12-13,Completed,Card
348,3918,2025-07-31,Cancelled,Card
349,2162,2025-06-08,Completed,Card
350,4676,2025-12-06,Completed,Card
351,1390,2025-05-20,Completed,Card
352,691,2025-01-16,Completed,PayPal
353,4733,2025-02-28,Completed,PayPal
354,3469,2025-03-11,Completed,PayPal
355,1849,2025-10-06,Completed,Card
356,4919,2025-12-07,Completed,PayPal
357,4971,2024-11-17,Completed,Card
358,3817,2025-08-12,Completed,PayPal
359,940,2024-09-06,Cancelled,PayPal
360,3183,2024-06-28,Completed,Card
361,3310,2025-11-19,Completed,Card
362,2051,2024-01-29,Cancelled,Card
363,1747,2025-05-10,Completed,PayPal
364,2452,2025-11-08,Completed,Card
365,25,2024-11-21,Completed,PayPal
366,2557,2025-10-09,Completed,PayPal
367,61,2024-07-05,Cancelled,Card
368,123,2024-02-24,Completed,Card
369,2103,2025-05-28,Completed,Bank Transfer
370,1187,2025-02-13,Completed,Card
371,1731,2024-01-17,Completed,PayPal
372,4642,2025-07-24,Completed,Card
373,4090,2024-03-28,Completed,Card
374,2473,2024-08-10,Completed,PayPal
375,2966,2024-02-27,Cancelled,Bank Transfer
376,2278,2025-12-04,Completed,PayPal
377,4088,2025-07-15,Completed,Card
378,2965,2025-12-25,Completed,Card
379,1311,2024-08-17,Completed,Card
380,155,2024-06-02,Completed,Card
381,2213,2024-09-29,Completed,PayPal
382,3254,2024-02-15,Returned,Card
383,1263,2025-03-27,Completed,Bank Transfer
384,1363,2024-11-01,Completed,PayPal
385,938,2025-03-02,Completed,PayPal
386,512,2024-04-27,Completed,PayPal
387,187,2025-11-18,Completed,PayPal
388,1846,2025-08-02,Completed,Card
389,1703,2024-09-07,Completed,PayPal
390,391,2025-02-06,Completed,Card
391,655,2024-07-18,Completed,PayPal
392,4272,2024-05-25,Completed,PayPal
393,2822,2024-02-20,Completed,Card
394,764,2025-01-02,Completed,PayPal
395,3401,2025-11-28,Completed,Card
396,4807,2024-11-15,Completed,Bank Transfer
397,3268,2024-07-17,Completed,PayPal
398,1086,2025-03-16,Completed,Card
399,1930,2024-05-24,Completed,Card
400,4377,2024-02-28,Completed,PayPal
401,1964,2025-12-07,Completed,PayPal
402,1786,2024-05-22,Cancelled,Bank Transfer
403,2275,2024-08-10,Completed,Card
404,2687,2024-04-09,Completed,Card
405,2969,2024-01-26,Completed,Card
406,4573,2025-03-07,Completed,Card
407,716,2025-06-09,Completed,Card
408,243,2024-05-01,Completed,Card
409,3916,2025-04-09,Completed,PayPal
410,1524,2024-09-21,Completed,PayPal
411,838,2024-01-07,Completed,Card
412,3324,2024-08-07,Completed,Card
413,2954,2025-11-25,Completed,Card
414,1346,2025-01-30,Completed,PayPal
415,2424,2025-04-01,Completed,PayPal
416,2029,2024-04-17,Completed,Card
417,1433,2025-05-06,Completed,Card
418,240,2025-09-27,Completed,Card
419,139,2025-11-12,Cancelled,Card
420,3194,2025-04-04,Completed,Card
421,420,2024-01-09,Completed,Bank Transfer
422,304,2025-01-01,Completed,Card
423,2163,2024-05-04,Completed,Card
424,2027,2024-06-10,Cancelled,Card
425,4103,2024-02-05,Completed,Card
426,2227,2024-01-04,Completed,Card
427,1169,2025-02-16,Completed,Card
428,416,2024-03-27,Completed,Card
429,2714,2025-04-27,Completed,Card
430,150,2025-08-25,Completed,Bank Transfer
431,2445,2024-02-27,Completed,PayPal
432,839,2024-05-19,Cancelled,Card
433,1697,2024-06-20,Completed,Card
434,4340,2024-09-16,Completed,Card
435,1911,2025-05-09,Completed,Bank Transfer
436,1422,2024-01-25,Cancelled,PayPal
437,4975,2024-07-16,Completed,Card
438,3002,2025-08-01,Completed,Card
439,1321,2025-02-26,Completed,Card
440,4036,2024-04-27,Completed,Bank Transfer
441,1524,2024-01-06,Completed,Bank Transfer
442,3879,2024-04-06,Completed,Bank Transfer
443,553,2024-03-12,Completed,Card
444,3757,2025-03-07,Completed,Card
445,3672,2025-01-14,Completed,Card
446,482,2025-07-03,Completed,Card
447,600,2024-02-25,Completed,Card
448,1165,2025-09-06,Completed,PayPal
449,4679,2024-04-12,Completed,PayPal
450,4233,2024-08-03,Completed,Card
451,1004,2024-01-21,Completed,Card
452,1983,2025-09-18,Completed,PayPal
453,1635,2024-07-28,Completed,Card
454,2998,2024-10-17,Completed,Bank Transfer
455,687,2025-12-15,Completed,Card
456,3415,2024-07-06,Cancelled,Card
457,1760,2024-05-30,Completed,PayPal
458,4938,2024-07-09,Completed,Card
459,2481,2025-02-10,Completed,PayPal
460,1338,2024-08-01,Completed,Card
461,115,2025-07-07,Completed,Card
462,3958,2025-04-22,Completed,Card
463,569,2024-07-12,Completed,Card
464,1554,2024-09-06,Completed,Card
465,2690,2025-08-15,Completed,Card
466,4591,2024-02-10,Completed,Card
467,3341,2025-01-04,Completed,Card
468,2989,2024-01-20,Cancelled,PayPal
469,3152,2024-01-09,Completed,Card
470,3528,2025-09-27,Completed,Card
471,3016,2024-07-21,Completed,PayPal
472,822,2025-08-12,Completed,Card
473,3575,2025-12-22,Completed,PayPal
474,3788,2024-01-18,Completed,PayPal
475,1609,2024-11-14,Completed,Card
476,560,2025-12-12,Completed,PayPal
477,4064,2024-10-08,Completed,PayPal
478,4436,2025-04-20,Cancelled,Card
479,612,2024-09-08,Completed,Card
480,2164,2024-12-05,Completed,Card
481,1882,2025-04-06,Completed,Card
482,4170,2025-09-22,Completed,Bank Transfer
483,3864,2025-02-04,Completed,PayPal
484,3709,2025-01-05,Completed,PayPal
485,1710,2024-10-08,Completed,Card
486,1762,2025-01-24,Completed,PayPal
487,1693,2024-12-02,Completed,PayPal
488,1246,2024-12-10,Completed,Card
489,126,2025-06-02,Completed,PayPal
490,4753,2024-09-29,Completed,Card
491,1200,2024-09-09,Returned,Card
492,2712,2025-10-01,Completed,Card
493,3447,2025-01-08,Completed,Card
494,991,2025-08-26,Completed,Card
495,3066,2024-01-06,Completed,Card
496,4955,2025-02-17,Completed,PayPal
497,1522,2025-08-08,Completed,Card
498,4729,2025-05-12,Completed,Card
499,2499,2024-02-25,Completed,Card
500,2566,2025-02-01,Completed,PayPal
501,4791,2024-08-25,Cancelled,Card
502,2598,2025-05-04,Cancelled,Bank Transfer
503,116,2024-01-22,Completed,Card
504,1032,2025-03-16,Cancelled,PayPal
505,1242,2024-02-10,Completed,Card
506,1743,2024-09-14,Completed,Card
507,3639,2025-03-26,Completed,Card
508,4400,2024-02-17,Completed,PayPal
509,4091,2025-05-17,Completed,Card
510,1976,2024-05-18,Completed,PayPal
511,4184,2024-07-20,Completed,PayPal
512,4404,2025-10-13,Completed,Card
513,4898,2025-05-23,Completed,Bank Transfer
514,164,2025-10-15,Completed,PayPal
515,3311,2024-10-12,Completed,Card
516,3389,2024-08-20,Completed,Card
517,996,2024-11-11,Completed,PayPal
518,1878,2025-04-05,Completed,Card
519,1824,2025-10-31,Returned,Bank Transfer
520,4907,2025-07-03,Completed,Bank Transfer
521,2296,2025-08-09,Completed,Card
522,3265,2024-11-16,Completed,Card
523,1349,2024-06-23,Completed,PayPal
524,1804,2024-02-08,Completed,Bank Transfer
525,2252,2025-03-08,Completed,Card
526,2901,2025-04-29,Completed,Bank Transfer
527,1594,2025-08-07,Completed,Card
528,433,2024-02-27,Completed,Card
529,3818,2025-05-10,Completed,Card
530,4918,2025-08-23,Completed,PayPal
531,1071,2024-05-13,Completed,Card
532,4601,2025-10-16,Completed,Card
533,115,2025-05-23,Completed,Card
534,1440,2025-08-29,Completed,Bank Transfer
535,1791,2024-06-04,Completed,Card
536,995,2024-07-19,Completed,PayPal
537,4319,2025-05-13,Completed,Card
538,4732,2025-02-05,Completed,Card
539,4768,2025-05-10,Completed,PayPal
540,958,2025-05-02,Completed,Bank Transfer
541,96,2024-06-08,Completed,Card
542,2155,2024-07-29,Completed,Card
543,632,2025-03-28,Completed,Bank Transfer
544,3685,2025-11-14,Completed,Card
545,1702,2024-03-10,Completed,Card
546,698,2024-11-09,Completed,Bank Transfer
547,32,2025-03-06,Completed,Card
548,4875,2025-01-16,Completed,Card
549,549,2025-10-18,Completed,PayPal
550,2249,2024-06-15,Completed,Card
551,1894,2025-01-25,Completed,Card
552,2835,2024-11-14,Completed,Card
553,1704,2024-04-26,Completed,PayPal
554,1157,2025-11-27,Completed,PayPal
555,344,2025-05-26,Completed,Card
556,4073,2024-07-21,Completed,Card
557,3463,2024-06-10,Completed,Card
558,2249,2025-04-06,Completed,Card
559,945,2025-11-30,Completed,PayPal
560,3881,2025-07-08,Completed,Card
561,2051,2024-07-19,Completed,Card
562,3286,2024-08-18,Completed,Card
563,2856,2025-05-30,Completed,PayPal
564,1331,2024-07-24,Completed,PayPal
565,2004,2024-11-26,Completed,Card
566,3616,2025-08-28,Completed,Card
567,1788,2024-12-12,Completed,Card
568,2247,2024-12-14,Returned,PayPal
569,3673,2024-06-08,Completed,Card
570,2156,2025-09-16,Completed,Bank Transfer
571,3480,2024-09-08,Cancelled,PayPal
572,3021,2024-08-09,Completed,Card
573,52,2025-08-28,Completed,Card
574,2160,2025-01-28,Completed,PayPal
575,4391,2025-01-30,Completed,Card
576,3652,2024-06-15,Completed,PayPal
577,3916,2025-03-27,Completed,PayPal
578,2113,2024-05-17,Completed,Card
579,2622,2024-07-28,Completed,Card
580,4561,2025-08-07,Completed,Card
581,4730,2024-08-01,Cancelled,Card
582,1355,2024-12-25,Completed,PayPal
583,3755,2025-10-24,Completed,PayPal
584,210,2024-08-22,Completed,PayPal
585,238,2025-12-28,Returned,Card
586,336,2025-01-31,Completed,Bank Transfer
587,3839,2024-10-30,Completed,Card
588,1577,2024-04-18,Completed,Card
589,500,2025-01-24,Completed,Card
590,1565,2024-04-29,Completed,PayPal
591,791,2025-09-01,Completed,Card
592,3541,2024-07-28,Completed,PayPal
593,3123,2025-03-02,Completed,Card
594,1136,2025-06-27,Cancelled,Card
595,3945,2024-11-25,Completed,Card
596,2349,2024-08-13,Completed,Card
597,4325,2025-12-27,Completed,Card
598,150,2025-09-26,Completed,Card
599,3207,2024-05-26,Completed,Bank Transfer
600,3529,2024-12-05,Completed,PayPal
601,1625,2025-07-17,Completed,Card
602,2575,2024-06-28,Completed,PayPal
603,4429,2024-10-16,Completed,PayPal
604,4270,2024-07-05,Completed,Card
605,3285,2025-04-30,Completed,Card
606,2109,2024-12-02,Completed,Card
607,3948,2024-04-17,Completed,Card
608,4915,2024-05-05,Completed,PayPal
609,2264,2025-12-06,Completed,Card
610,1613,2024-02-03,Completed,Card
611,3816,2025-03-13,Completed,Card
612,4720,2024-10-02,Completed,Card
613,578,2025-05-08,Completed,Card
614,423,2024-06-30,Completed,Card
615,2764,2024-08-26,Completed,Card
616,1230,2024-12-13,Completed,Card
617,3177,2024-05-25,Completed,Card
618,754,2024-02-13,Completed,Card
619,4843,2025-05-13,Completed,Card
620,688,2024-10-21,Completed,Card
621,723,2025-06-14,Completed,Card
622,747,2025-12-27,Completed,Card
623,4338,2024-07-29,Cancelled,Card
624,2713,2025-02-05,Completed,Card
625,708,2024-08-18,Completed,PayPal
626,435,2024-12-04,Completed,Card
627,4877,2024-01-05,Completed,PayPal
628,484,2024-11-06,Completed,Card
629,3519,2024-06-10,Completed,PayPal
630,1534,2024-08-03,Completed,Card
631,170,2025-09-03,Completed,Card
632,1021,2024-06-19,Completed,PayPal
633,4965,2024-09-08,Completed,Card
634,848,2025-11-11,Completed,Card
635,696,2024-02-07,Completed,PayPal
636,3347,2024-08-15,Cancelled,Bank Transfer
637,4014,2025-09-28,Completed,Card
638,32,2024-10-04,Completed,PayPal
639,177,2024-10-11,Completed,PayPal
640,2965,2025-05-24,Completed,PayPal
641,2113,2025-10-10,Completed,Bank Transfer
642,3887,2024-12-31,Completed,Card
643,1503,2025-09-11,Completed,PayPal
644,2316,2024-03-08,Completed,Card
645,2645,2024-04-13,Completed,Card
646,66,2025-02-04,Completed,Card
647,4229,2024-09-02,Completed,PayPal
648,1929,2025-11-07,Completed,Card
649,585,2024-07-10,Completed,PayPal
650,1749,2025-12-07,Completed,Bank Transfer
651,2205,2025-10-05,Completed,Card
652,3631,2024-10-22,Completed,PayPal
653,1893,2024-05-23,Completed,Card
654,2430,2024-01-26,Completed,Bank Transfer
655,3094,2024-09-07,Completed,PayPal
656,974,2025-08-29,Completed,PayPal
657,4025,2025-12-12,Completed,Card
658,2643,2025-09-06,Completed,Bank Transfer
659,1443,2024-07-11,Completed,Card
660,4330,2025-01-15,Completed,Card
661,1478,2024-01-02,Completed,PayPal
662,771,2025-08-25,Completed,Card
663,306,2024-02-14,Completed,PayPal
664,2,2024-01-03,Completed,Card
665,271,2025-03-24,Completed,Card
666,4517,2025-07-29,Completed,Card
667,3215,2024-05-14,Completed,Bank Transfer
668,864,2024-10-17,Completed,Card
669,2740,2024-10-04,Completed,PayPal
670,2915,2024-06-24,Completed,PayPal
671,107,2024-10-08,Completed,Card
672,3169,2024-04-29,Completed,Bank Transfer
673,4645,2024-06-22,Completed,Card
674,2600,2025-03-14,Completed,PayPal
675,2236,2025-04-03,Cancelled,PayPal
676,2800,2025-09-21,Completed,Card
677,1512,2024-12-06,Completed,PayPal
678,19,2025-11-27,Completed,PayPal
679,859,2025-12-26,Completed,Bank Transfer
680,1417,2024-04-30,Completed,Card
681,3033,2025-07-28,Completed,PayPal
682,4506,2025-10-22,Cancelled,Bank Transfer
683,1427,2025-05-07,Returned,PayPal
684,2532,2024-10-02,Completed,PayPal
685,4720,2024-01-29,Completed,Card
686,4752,2025-11-15,Completed,Card
687,4864,2024-08-31,Completed,Bank Transfer
688,4039,2024-11-16,Returned,PayPal
689,4114,2025-10-04,Returned,Card
690,2232,2024-12-17,Completed,Bank Transfer
691,2453,2025-06-15,Completed,PayPal
692,2847,2024-03-21,Completed,Card
693,3203,2024-10-19,Completed,Card
